"Story","Title","Result","Date","Stability","Duration (s)"
"Crear producto","Agregar un producto correctamente","SUCCESS","2026-06-30T14:29:31.724-05:00[America/Bogota]","0.0","13.49"
"Crear producto","Editar producto correctamente","SUCCESS","2026-06-30T14:23:48.503-05:00[America/Bogota]","0.0","10.5"
