"Story","Title","Result","Date","Stability","Duration (s)"
"Gestión de Garantías","Registrar una nueva garantía exitosamente","SUCCESS","2026-06-30T14:40:43.657-05:00[America/Bogota]","0.0","31.7"
"Gestión de Garantías","Edita una garantía existente exitosamente","SUCCESS","2026-06-30T14:24:18.14-05:00[America/Bogota]","0.0","14.33"
